Age,Male,Female
unter 5,99098,93990
5 bis unter 10,85936,81468
10 bis unter 15,78123,73553
15 bis unter 20,75952,71474
20 bis unter 25,99848,100204
25 bis unter 30,143314,145141
30 bis unter 35,165499,160660
35 bis unter 40,146101,139593
40 bis unter 45,118256,112626
45 bis unter 50,117064,111891
50 bis unter 55,137787,133639
55 bis unter 60,128104,126616
60 bis unter 65,97227,102098
65 bis unter 70,84419,99159
70 bis unter 75,66363,78728
75 bis unter 80,76042,96326
80 bis unter 85,48467,70704
85 bis unter 90,18014,32625
90 bis unter 95,5956,16131
95 und mehr,1231,5399
