"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_ad_choice_1yes"
"1",1,"RA1-2017-04-16-13-50","adult",29.55,-0.422593381093457,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"2",2,"RA1-2017-04-16-14-13","adult",24.66,-0.759448658787094,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"3",3,"RA1-2017-04-16-14-38","adult",60.59,1.7156454368228,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,0
"4",4,"RA1-2017-04-16-15-12","adult",72.64,2.54572848308217,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"5",6,"Bailey-2017-04-22-14-56","adult",36.16,0.032746779551724,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,0
"6",7,"Bailey-2017-04-23-15-14","adult",40.75,0.348936089288696,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"7",8,"Bailey-2017-04-28-12-48","adult",54.42,1.29061536251406,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"8",9,"Bailey-2017-05-23-15-46","adult",23.01,-0.87311148254875,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"9",12,"Bailey-2017-05-23-17-58","adult",21.47,-0.979196784726296,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"10",13,"RA1-2017-05-23-18-17","adult",17.75,-1.23545478738894,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,0
"11",14,"Bailey-2017-05-30-15-50","adult",25.51,-0.700895082909877,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"12",15,"RA1-2017-05-30-16-24","adult",20.77,-1.02741737662518,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,0
"13",16,"RA1-2017-05-30-16-42","adult",20.35,-1.05634973176451,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,0
"14",17,"Bailey-2017-05-30-17-14","adult",29.61,-0.418460187502124,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"15",18,"Bailey-2017-05-30-18-14","adult",23.04,-0.871044885753084,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"16",19,"Bailey-2017-06-08-12-50","adult",25.62,-0.693317561325766,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,0
"17",20,"Bailey-2017-06-08-13-17","adult",21.45,-0.980574515923407,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"18",21,"Bailey-2017-06-08-13-47","adult",25.85,-0.67747365255899,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"19",22,"Bailey-2017-06-08-14-17","adult",26.1,-0.660252012595102,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"20",23,"Bailey-2017-06-08-15-18","adult",19.33,-1.12661402281717,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,0
"21",24,"Bailey-2017-06-08-16-08","adult",19.64,-1.10525918926195,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"22",25,"Bailey-2017-06-08-16-34","adult",33.81,-0.129136636108817,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"23",26,"Bailey-2017-06-29-12-37","adult",31.65,-0.277931605396804,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"24",27,"Bailey-2017-06-29-13-09","adult",23.61,-0.831779546635421,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"25",28,"Bailey-2017-06-29-14-00","adult",28.89,-0.46805851059812,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"26",29,"Bailey-2017-06-29-15-24","adult",34.6,-0.0747162538229327,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"27",30,"Bailey-2017-06-29-16-19","adult",32.93,-0.1897568087817,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
