"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","age_c","GENDER","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","T1_ad_choice_1yes","T5_ad_choice_1yes"
"1",1,"RA1-2017-04-16-13-50","adult",29.55,-0.43742570635808,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,1,1
"2",2,"RA1-2017-04-16-14-13","adult",24.66,-0.772281614412134,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"3",3,"RA1-2017-04-16-14-38","adult",60.59,1.68812181634087,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"4",4,"RA1-2017-04-16-15-12","adult",72.64,2.5132779905845,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"5",6,"Bailey-2017-04-22-14-56","adult",36.16,0.0152118298867675,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"6",7,"Bailey-2017-04-23-15-14","adult",40.75,0.329524430698243,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,1,1
"7",8,"Bailey-2017-04-28-12-48","adult",54.42,1.26561446405181,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"8",9,"Bailey-2017-05-23-15-46","adult",23.01,-0.885269804246325,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,1,1
"9",12,"Bailey-2017-05-23-17-58","adult",21.47,-0.990725448091569,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"10",13,"RA1-2017-05-23-18-17","adult",17.75,-1.24546245789956,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"11",14,"Bailey-2017-05-30-15-50","adult",25.51,-0.714075577224824,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"12",15,"RA1-2017-05-30-16-24","adult",20.77,-1.03865983165759,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"13",16,"RA1-2017-05-30-16-42","adult",20.35,-1.0674204617972,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"14",18,"Bailey-2017-05-30-18-14","adult",23.04,-0.883215473522067,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"15",19,"Bailey-2017-06-08-12-50","adult",25.62,-0.706543031235878,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,1
"16",20,"Bailey-2017-06-08-13-17","adult",21.45,-0.992095001907741,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"17",21,"Bailey-2017-06-08-13-47","adult",25.85,-0.6907931623499,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,1,1
"18",22,"Bailey-2017-06-08-14-17","adult",26.1,-0.67367373964775,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,1,1
"19",23,"Bailey-2017-06-08-15-18","adult",19.33,-1.13726770642197,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,0,0
"20",24,"Bailey-2017-06-08-16-08","adult",19.64,-1.11603962227131,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"21",25,"Bailey-2017-06-08-16-34","adult",33.81,-0.145710743513443,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"22",26,"Bailey-2017-06-29-12-37","adult",31.65,-0.293622555660019,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"23",27,"Bailey-2017-06-29-13-09","adult",23.61,-0.844183189761165,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,1,1
"24",28,"Bailey-2017-06-29-14-00","adult",28.89,-0.482620982291756,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"25",29,"Bailey-2017-06-29-15-24","adult",34.6,-0.0916133677746484,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"26",30,"Bailey-2017-06-29-16-19","adult",32.93,-0.205971111425011,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"27",31,"Bailey-2017-06-30-12-27","adult",29.55,-0.43742570635808,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"28",32,"Bailey-2017-06-30-14-01","adult",26.76,-0.628478463714074,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,1,1
"29",33,"Bailey-2017-06-30-15-22","adult",27.58,-0.572326757251022,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"30",34,"Bailey-2017-06-30-17-14","adult",31.21,-0.323752739615803,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"31",35,"Bailey-2017-06-30-17-46","adult",41.55,0.384306583345123,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"32",36,"Bailey-2017-08-07-11-20","adult",42.84,0.472642804488217,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,0
"33",37,"Bailey-2017-08-07-11-58","adult",23.15,-0.875682927533121,"FEMALE",1,3,"phoenix",0,0,1,0,0,0,0,1,1
"34",38,"Bailey-2017-08-07-12-28","adult",21.32,-1.00099710171286,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"35",39,"Bailey-2017-08-07-13-20","adult",20.72,-1.04208371619802,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,1,1
"36",40,"Bailey-2017-08-07-15-29","adult",25.62,-0.706543031235878,"MALE",0,3,"phoenix",0,0,1,0,0,0,0,0,1
"37",102,"Emma-2017-07-05-09-52","adult",34.53,-0.0964068061312505,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,1
"38",103,"Emma-2017-07-05-10-54","adult",39.53,0.245981647911751,"MALE",0,7,"tanna",0,0,0,0,0,0,1,1,1
"39",104,"Emma-2017-07-05-12-21","adult",18.97,-1.16191967511307,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,0,1
"40",105,"Emma-2017-07-05-17-22","adult",22.16,-0.943475841433635,"FEMALE",1,7,"tanna",0,0,0,0,0,0,1,1,1
"41",106,"Emma-2017-07-06-08-17","adult",17.27,-1.27833174948769,"MALE",0,7,"tanna",0,0,0,0,0,0,1,0,0
"42",136,"Andrew-2017-07-05-15-34","adult",17.78,-1.2434081271753,"MALE",0,5,"shuar",0,0,0,0,1,0,0,1,1
"43",165,"Alejandro-2017-07-04-14-01","adult",26.58,-0.640804448059622,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"44",166,"Alejandro-2017-07-04-16-01","adult",17.95,-1.23176691973784,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"45",167,"Alejandro-2017-07-05-16-31","adult",33.9,-0.139547751340669,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"46",168,"Alejandro-2017-07-06-10-30","adult",25.32,-0.727086338478458,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"47",169,"Alejandro-2017-07-06-11-32","adult",25.06,-0.744890538088695,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"48",170,"Alejandro-2017-07-06-15-07","adult",48.01,0.82667246596868,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,1
"49",171,"Alejandro-2017-07-07-09-46","adult",51.98,1.09852889847882,"MALE",0,5,"shuar",0,0,0,0,1,0,0,1,0
"50",173,"Alejandro-2017-07-07-14-42","adult",47.22,0.772575090229886,"MALE",0,5,"shuar",0,0,0,0,1,0,0,0,0
"51",182,"Andrew-2017-07-06-12-55","adult",17.47,-1.26463621132597,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"52",184,"Andrew-2017-07-07-10-58","adult",41.03,0.348698184124651,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
"53",185,"Andrew-2017-07-07-13-34","adult",20.43,-1.06194224653251,"MALE",0,5,"shuar",0,0,0,0,1,0,0,1,0
"54",186,"Andrew-2017-07-07-15-21","adult",45.86,0.67944543073019,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,1
"55",193,"Andrew-2017-07-11-10-11","adult",43.59,0.524001072594668,"MALE",0,5,"shuar",0,0,0,0,1,0,0,1,1
"56",194,"Andrew-2017-07-11-10-43","adult",47.58,0.797227058920982,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,1
"57",195,"Andrew-2017-07-11-11-12","adult",43.47,0.515783749697635,"FEMALE",1,5,"shuar",0,0,0,0,1,0,0,0,0
