"","X","SUBJECT_ID","AGE_in_years","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"1",43,"Bailey-2017-02-17-11-49",7.37,-0.700327488012338,0.490458590465672,-0.343481632634896,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"2",44,"Bailey-2017-02-03-11-01",6.55,-1.00679772723691,1.01364166356941,-1.02053212311433,0,3,"phoenix",0,0,1,0,0,0,0,0,1
"3",51,"Bailey-2017-02-04-14-39",8.83,-0.154660964514925,0.0239200139446869,-0.00369949242789574,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"4",59,"Bailey-2017-02-24-10-37",4.52,-1.76549844141482,3.11698474663817,-5.50303171210347,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"5",61,"Bailey-2017-02-24-12-02",8.01,-0.4611312037395,0.21264198706224,-0.0980558554595699,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"6",63,"Bailey-2017-02-24-12-40",10.68,0.536765794711249,0.288117518371999,0.154651628719179,1,3,"phoenix",0,0,1,0,0,0,0,0,1
"7",64,"Bailey-2017-02-19-13-34",6.04,-1.19740726626683,1.43378416130861,-1.71682357300922,1,3,"phoenix",0,0,1,0,0,0,0,0,1
"8",65,"Bailey-2017-02-19-13-55",5.78,-1.29458075675267,1.67593933575432,-2.1696388135524,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"9",68,"Bailey-2017-02-19-15-13",6.51,-1.02174749500397,1.04396794354688,-1.06667163118346,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"10",69,"Bailey-2017-02-19-15-37",9.53,0.106959971408492,0.0114404354837054,0.00122366865223783,0,3,"phoenix",0,0,1,0,0,0,0,0,0
"11",72,"Bailey-2017-02-25-13-56",5.67,-1.33569261811207,1.78407477007907,-2.38297550055459,0,3,"phoenix",0,0,1,0,0,0,0,0,0
