"","X","SUBJECT_ID","AGE_in_years","CONDITION_1_1yes","CONDITION_2_1yes","CONDITION_3_1yes","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"1",41,"Bailey-2017-02-17-09-43",9.56,1,0,0,0.319829915356319,0.10229117475683,0.0327157777641753,1,3,"phoenix",0,0,1,0,0,0,0,0,1
"2",42,"Bailey-2017-02-17-11-24",6.21,0,1,0,-1.03083060436607,1.06261173489771,-1.09537269689108,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"3",43,"Bailey-2017-02-17-11-49",7.37,0,0,1,-0.563139200521897,0.317125759164442,-0.178585946480763,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"4",44,"Bailey-2017-02-03-11-01",6.55,0,0,1,-0.893748641170362,0.798786633593868,-0.713914468359567,0,3,"phoenix",0,0,1,0,0,0,0,0,1
"5",45,"Bailey-2017-02-03-11-22",4.99,0,1,0,-1.52271294289183,2.3186547064503,-3.53064553160893,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"6",46,"Bailey-2017-02-03-11-50",4.81,0,1,0,-1.59528574693662,2.54493661437912,-4.05990110777613,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"7",47,"Bailey-2017-02-04-13-21",4.81,0,1,0,-1.59528574693662,2.54493661437912,-4.05990110777613,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"8",48,"Bailey-2017-02-04-13-36",5.87,0,1,0,-1.16791256756177,1.36401976546873,-1.59305582649359,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"9",49,"Bailey-2017-02-04-13-56",7.08,1,0,0,-0.68006205148294,0.462484393867184,-0.314518085672161,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"10",51,"Bailey-2017-02-04-14-39",8.83,0,0,1,0.0255068767302465,0.00065060076053199,1.65947933994941e-05,1,3,"phoenix",0,0,1,0,0,0,0,0,0
