"","X","SUBJECT_ID","AGE_in_years","CONDITION_1_1yes","CONDITION_2_1yes","CONDITION_3_1yes","age_c","age_2c","age_3c","GENDER_1female","fieldid","FIELDSITE","berlin","laplata","phoenix","pune","shuar","wiichi","tanna","hadza","T1_choice_1yes"
"1",43,"Bailey-2017-02-17-11-49",7.37,0,0,1,-0.550323337627468,0.302855775937436,-0.166668601433647,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"2",44,"Bailey-2017-02-03-11-01",6.55,0,0,1,-0.873219805665131,0.762512829005849,-0.665841304361656,0,3,"phoenix",0,0,1,0,0,0,0,0,1
"3",51,"Bailey-2017-02-04-14-39",8.83,0,0,1,0.0245898859517845,0.000604662491121768,1.48685816960062e-05,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"4",59,"Bailey-2017-02-24-10-37",4.52,0,0,1,-1.67258545214861,2.79754209473918,-4.6791282094341,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"5",61,"Bailey-2017-02-24-12-02",8.01,0,0,1,-0.298306582085878,0.0889868169157587,-0.0265453532048418,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"6",63,"Bailey-2017-02-24-12-40",10.68,0,0,1,0.753075819939194,0.567123190577089,0.427086761750373,1,3,"phoenix",0,0,1,0,0,0,0,0,1
"7",64,"Bailey-2017-02-19-13-34",6.04,0,0,1,-1.07404565773734,1.15357407490443,-1.23899122602946,1,3,"phoenix",0,0,1,0,0,0,0,0,1
"8",65,"Bailey-2017-02-19-13-55",5.78,0,0,1,-1.17642746467611,1.38398157964425,-1.62815394089932,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"9",68,"Bailey-2017-02-19-15-13",6.51,0,0,1,-0.88897085288648,0.790269177281716,-0.702526264538024,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"10",69,"Bailey-2017-02-19-15-37",9.53,0,0,1,0.300233212325399,0.0901399817832278,0.0270630162897314,0,3,"phoenix",0,0,1,0,0,0,0,0,0
"11",72,"Bailey-2017-02-25-13-56",5.67,0,0,1,-1.21974284453482,1.48777260679389,-1.81469999143176,0,3,"phoenix",0,0,1,0,0,0,0,0,0
"12",76,"Bailey-2017-03-26-15-20",6.82,0,0,1,-0.766900236921022,0.58813597338952,-0.451041617334199,1,3,"phoenix",0,0,1,0,0,0,0,0,0
"13",79,"Bailey-2017-03-24-11-53",11.9,0,0,1,1.23348276019035,1.52147971968681,1.87671900421292,0,3,"phoenix",0,0,1,0,0,0,0,0,0
"14",86,"RA1-2017-03-31-12-10",6.21,0,0,1,-1.0071037070466,1.014257876747,-1.02146286757312,0,3,"phoenix",0,0,1,0,0,0,0,0,0
"15",89,"RA2-2017-04-01-14-05",7.36,0,0,1,-0.554261099432805,0.307205366344462,-0.170271984101739,0,3,"phoenix",0,0,1,0,0,0,0,0,0
"16",98,"RA1-2017-04-22-14-22",8.52,0,0,1,-0.0974807300136735,0.0095024927239987,-0.000926309927685014,0,3,"phoenix",0,0,1,0,0,0,0,0,0
"17",109,"Andrew-2017-06-28-09-10",9.78,0,0,1,0.398677257458832,0.158943555614896,0.0633671808433021,1,5,"shuar",0,0,0,0,1,0,0,0,0
"18",110,"Andrew-2017-06-28-09-50",9.24,0,0,1,0.186038119970616,0.0346101820822012,0.00643881320641341,1,5,"shuar",0,0,0,0,1,0,0,0,0
"19",111,"Andrew-2017-06-28-10-32",8.51,0,0,1,-0.101418491819011,0.0102857104828428,-0.0010431612444569,0,5,"shuar",0,0,0,0,1,0,0,0,0
"20",113,"Andrew-2017-06-28-12-01",9.64,0,0,1,0.34354859218411,0.118025635191684,0.0405475408117383,0,5,"shuar",0,0,0,0,1,0,0,0,0
