"","X","SUBJECT_ID","ADULT_CHILD","AGE_in_years","GENDER","GENDER_1female","fieldid","FIELDSITE","T1_ad_choice_1yes","T5_ad_choice_1yes"
"1",1,"RA1-2017-04-16-13-50","adult",29.55,"MALE",0,3,"phoenix",1,1
"2",2,"RA1-2017-04-16-14-13","adult",24.66,"FEMALE",1,3,"phoenix",1,1
"3",3,"RA1-2017-04-16-14-38","adult",60.59,"FEMALE",1,3,"phoenix",0,1
"4",4,"RA1-2017-04-16-15-12","adult",72.64,"MALE",0,3,"phoenix",0,0
"5",6,"Bailey-2017-04-22-14-56","adult",36.16,"FEMALE",1,3,"phoenix",0,1
"6",7,"Bailey-2017-04-23-15-14","adult",40.75,"MALE",0,3,"phoenix",1,1
"7",8,"Bailey-2017-04-28-12-48","adult",54.42,"FEMALE",1,3,"phoenix",1,1
"8",9,"Bailey-2017-05-23-15-46","adult",23.01,"MALE",0,3,"phoenix",1,1
"9",12,"Bailey-2017-05-23-17-58","adult",21.47,"MALE",0,3,"phoenix",0,0
"10",13,"RA1-2017-05-23-18-17","adult",17.75,"FEMALE",1,3,"phoenix",0,1
"11",14,"Bailey-2017-05-30-15-50","adult",25.51,"MALE",0,3,"phoenix",0,0
"12",15,"RA1-2017-05-30-16-24","adult",20.77,"FEMALE",1,3,"phoenix",0,1
"13",16,"RA1-2017-05-30-16-42","adult",20.35,"FEMALE",1,3,"phoenix",0,1
"14",18,"Bailey-2017-05-30-18-14","adult",23.04,"FEMALE",1,3,"phoenix",1,1
"15",19,"Bailey-2017-06-08-12-50","adult",25.62,"FEMALE",1,3,"phoenix",0,1
"16",20,"Bailey-2017-06-08-13-17","adult",21.45,"FEMALE",1,3,"phoenix",1,1
"17",21,"Bailey-2017-06-08-13-47","adult",25.85,"MALE",0,3,"phoenix",1,1
"18",22,"Bailey-2017-06-08-14-17","adult",26.1,"MALE",0,3,"phoenix",1,1
"19",23,"Bailey-2017-06-08-15-18","adult",19.33,"FEMALE",1,3,"phoenix",0,0
"20",24,"Bailey-2017-06-08-16-08","adult",19.64,"FEMALE",1,3,"phoenix",1,1
"21",25,"Bailey-2017-06-08-16-34","adult",33.81,"FEMALE",1,3,"phoenix",1,1
"22",26,"Bailey-2017-06-29-12-37","adult",31.65,"MALE",0,3,"phoenix",0,1
"23",27,"Bailey-2017-06-29-13-09","adult",23.61,"MALE",0,3,"phoenix",1,1
"24",28,"Bailey-2017-06-29-14-00","adult",28.89,"FEMALE",1,3,"phoenix",1,1
"25",29,"Bailey-2017-06-29-15-24","adult",34.6,"MALE",0,3,"phoenix",0,1
"26",30,"Bailey-2017-06-29-16-19","adult",32.93,"MALE",0,3,"phoenix",0,1
"27",31,"Bailey-2017-06-30-12-27","adult",29.55,"FEMALE",1,3,"phoenix",1,1
"28",32,"Bailey-2017-06-30-14-01","adult",26.76,"MALE",0,3,"phoenix",1,1
"29",33,"Bailey-2017-06-30-15-22","adult",27.58,"FEMALE",1,3,"phoenix",1,1
"30",34,"Bailey-2017-06-30-17-14","adult",31.21,"FEMALE",1,3,"phoenix",1,1
"31",35,"Bailey-2017-06-30-17-46","adult",41.55,"FEMALE",1,3,"phoenix",1,1
"32",36,"Bailey-2017-08-07-11-20","adult",42.84,"MALE",0,3,"phoenix",0,0
"33",37,"Bailey-2017-08-07-11-58","adult",23.15,"FEMALE",1,3,"phoenix",1,1
"34",38,"Bailey-2017-08-07-12-28","adult",21.32,"MALE",0,3,"phoenix",0,1
"35",39,"Bailey-2017-08-07-13-20","adult",20.72,"MALE",0,3,"phoenix",1,1
"36",40,"Bailey-2017-08-07-15-29","adult",25.62,"MALE",0,3,"phoenix",0,1
"37",136,"Andrew-2017-07-05-15-34","adult",17.78,"MALE",0,5,"shuar",1,1
"38",165,"Alejandro-2017-07-04-14-01","adult",26.58,"MALE",0,5,"shuar",0,0
"39",166,"Alejandro-2017-07-04-16-01","adult",17.95,"MALE",0,5,"shuar",0,0
"40",167,"Alejandro-2017-07-05-16-31","adult",33.9,"MALE",0,5,"shuar",0,0
"41",168,"Alejandro-2017-07-06-10-30","adult",25.32,"FEMALE",1,5,"shuar",0,0
"42",169,"Alejandro-2017-07-06-11-32","adult",25.06,"MALE",0,5,"shuar",0,0
"43",170,"Alejandro-2017-07-06-15-07","adult",48.01,"FEMALE",1,5,"shuar",0,1
"44",171,"Alejandro-2017-07-07-09-46","adult",51.98,"MALE",0,5,"shuar",1,0
"45",173,"Alejandro-2017-07-07-14-42","adult",47.22,"MALE",0,5,"shuar",0,0
"46",182,"Andrew-2017-07-06-12-55","adult",17.47,"FEMALE",1,5,"shuar",0,0
"47",184,"Andrew-2017-07-07-10-58","adult",41.03,"FEMALE",1,5,"shuar",0,0
"48",185,"Andrew-2017-07-07-13-34","adult",20.43,"MALE",0,5,"shuar",1,0
"49",186,"Andrew-2017-07-07-15-21","adult",45.86,"FEMALE",1,5,"shuar",0,1
"50",193,"Andrew-2017-07-11-10-11","adult",43.59,"MALE",0,5,"shuar",1,1
"51",194,"Andrew-2017-07-11-10-43","adult",47.58,"FEMALE",1,5,"shuar",0,1
"52",195,"Andrew-2017-07-11-11-12","adult",43.47,"FEMALE",1,5,"shuar",0,0
"53",197,"Alejandro-2017-07-11-10-49","adult",55.18,"MALE",0,5,"shuar",0,1
"54",198,"Alejandro-2017-07-11-11-16","adult",35.04,"MALE",0,5,"shuar",0,0
"55",199,"Andrew-2017-07-29-10-44","adult",42.15,"FEMALE",1,5,"shuar",0,0
"56",200,"Andrew-2017-07-29-12-25","adult",45.06,"MALE",0,5,"shuar",0,1
"57",212,"Suheyla-2017-06-19-10-57","adult",46.5,"FEMALE",1,4,"pune",1,1
"58",213,"Iris-2017-06-19-09-36","adult",42.27,"FEMALE",1,4,"pune",1,1
"59",261,"Suheyla-2017-06-23-17-33","adult",66.42,"FEMALE",1,4,"pune",0,0
"60",262,"Suheyla-2017-06-23-18-31","adult",68.04,"MALE",0,4,"pune",1,1
"61",263,"Suheyla-2017-06-23-18-57","adult",68.9,"FEMALE",1,4,"pune",1,0
"62",264,"Suheyla-2017-06-23-19-38","adult",44.49,"FEMALE",1,4,"pune",1,1
"63",265,"Suheyla-2017-06-23-20-06","adult",56.68,"MALE",0,4,"pune",0,0
"64",266,"Suheyla-2017-06-23-20-37","adult",63.78,"FEMALE",1,4,"pune",0,0
"65",267,"Suheyla-2017-06-23-21-12","adult",49.57,"FEMALE",1,4,"pune",1,1
"66",268,"Suheyla-2017-06-23-21-38","adult",21.45,"FEMALE",1,4,"pune",1,1
"67",275,"Suheyla-2017-06-26-19-03","adult",20.7,"FEMALE",1,4,"pune",0,0
"68",291,"Suheyla-2017-06-27-14-33","adult",38.38,"FEMALE",1,4,"pune",0,0
"69",292,"Suheyla-2017-06-27-15-02","adult",51.89,"FEMALE",1,4,"pune",0,0
"70",293,"Suheyla-2017-06-28-12-54","adult",37.02,"MALE",0,4,"pune",1,1
"71",294,"Suheyla-2017-06-28-15-34","adult",36.06,"MALE",0,4,"pune",1,1
"72",295,"Iris-2017-06-23-17-46","adult",68.75,"MALE",0,4,"pune",1,1
"73",296,"Iris-2017-06-23-19-09","adult",48.62,"MALE",0,4,"pune",1,1
"74",297,"Iris-2017-06-23-20-10","adult",51.66,"FEMALE",1,4,"pune",1,1
"75",307,"Iris-2017-06-28-15-38","adult",36.01,"MALE",0,4,"pune",1,1
"76",357,"Iris-2017-07-04-20-48","adult",54.04,"FEMALE",1,4,"pune",1,1
"77",363,"Suheyla-2017-07-04-20-50","adult",59.93,"MALE",0,4,"pune",1,1
"78",364,"Suheyla-2017-07-04-21-50","adult",23.58,"MALE",0,4,"pune",0,0
"79",372,"Iris-2017-06-23-18-40","adult",66.36,"FEMALE",1,4,"pune",1,0
"80",373,"Iris-2017-06-23-19-49","adult",73.85,"MALE",0,4,"pune",0,0
"81",374,"Iris-2017-06-23-21-08","adult",56.11,"MALE",0,4,"pune",0,1
"82",375,"Iris-2017-06-26-18-58","adult",21.04,"MALE",0,4,"pune",0,0
"83",376,"Iris-2017-06-26-20-40","adult",21.18,"FEMALE",1,4,"pune",0,0
"84",377,"Iris-2017-06-27-08-18","adult",30.63,"MALE",0,4,"pune",1,0
"85",378,"Iris-2017-06-27-14-35","adult",32.02,"FEMALE",1,4,"pune",0,1
"86",381,"Iris-2017-06-23-20-36","adult",65.77,"MALE",0,4,"pune",0,0
"87",676,"Carla-2017-06-23-10-12","adult",16.3,"FEMALE",1,6,"wiichi",0,0
"88",677,"Carla-2017-06-23-10-38","adult",21.12,"MALE",0,6,"wiichi",0,0
"89",678,"Carla-2017-06-23-11-05","adult",19.01,"FEMALE",1,6,"wiichi",0,1
"90",679,"Carla-2017-06-23-11-31","adult",23.31,"FEMALE",1,6,"wiichi",0,0
"91",680,"Carla-2017-06-23-11-58","adult",32.18,"FEMALE",1,6,"wiichi",1,1
"92",681,"Carla-2017-06-23-12-28","adult",18.04,"FEMALE",1,6,"wiichi",0,1
"93",682,"Carla-2017-06-23-12-59","adult",34.61,"FEMALE",1,6,"wiichi",0,0
"94",683,"Carla-2017-06-23-13-54","adult",17.05,"FEMALE",1,6,"wiichi",0,0
"95",684,"Carla-2017-06-23-13-28","adult",22.11,"MALE",0,6,"wiichi",1,0
"96",701,"Carla-2017-06-25-11-11","adult",17.22,"MALE",0,6,"wiichi",0,0
"97",702,"Carla-2017-06-25-12-10","adult",16.05,"MALE",0,6,"wiichi",1,0
"98",703,"Carla-2017-06-25-12-43","adult",31.61,"FEMALE",1,6,"wiichi",1,1
"99",704,"Carla-2017-06-25-13-37","adult",36.04,"FEMALE",1,6,"wiichi",0,1
"100",705,"Carla-2017-06-25-14-26","adult",38.3,"MALE",0,6,"wiichi",0,0
"101",706,"Carla-2017-06-25-17-04","adult",23.06,"MALE",0,6,"wiichi",0,0
"102",707,"Carla-2017-06-25-17-58","adult",23.04,"MALE",0,6,"wiichi",1,0
"103",708,"Carla-2017-06-25-18-28","adult",67.05,"FEMALE",1,6,"wiichi",1,0
"104",709,"Carla-2017-06-25-18-56","adult",17.13,"MALE",0,6,"wiichi",0,1
"105",710,"Carla-2017-06-25-19-26","adult",45.24,"FEMALE",1,6,"wiichi",0,0
"106",711,"Carla-2017-06-25-19-55","adult",31.28,"FEMALE",1,6,"wiichi",0,1
"107",712,"Carla-2017-06-26-16-55","adult",25.3,"FEMALE",1,6,"wiichi",0,0
"108",713,"Carla-2017-06-26-17-24","adult",32.65,"FEMALE",1,6,"wiichi",1,1
"109",714,"Carla-2017-06-26-18-01","adult",26.16,"MALE",0,6,"wiichi",1,0
"110",715,"Carla-2017-06-26-18-49","adult",17.31,"MALE",0,6,"wiichi",0,1
"111",716,"Carla-2017-06-27-16-48","adult",43.36,"MALE",0,6,"wiichi",0,1
"112",717,"Carla-2017-06-27-17-27","adult",36.31,"FEMALE",1,6,"wiichi",0,1
"113",718,"Carla-2017-06-27-17-56","adult",66.06,"FEMALE",1,6,"wiichi",0,0
"114",719,"Carla-2017-06-28-17-01","adult",43.1,"FEMALE",1,6,"wiichi",0,0
"115",720,"Carla-2017-06-28-17-34","adult",54.31,"FEMALE",1,6,"wiichi",1,0
"116",721,"Carla-2017-06-28-18-03","adult",33.1,"FEMALE",1,6,"wiichi",0,0
"117",736,"Noe-2017-07-24-20-54","adult",42.51,"FEMALE",1,2,"laplata",1,1
"118",737,"Noe-2017-07-29-14-54","adult",56.64,"FEMALE",1,2,"laplata",0,1
"119",738,"Noe-2017-07-29-15-18","adult",71.69,"FEMALE",1,2,"laplata",1,1
"120",777,"Noe-2017-08-24-12-00","adult",20.86,"MALE",0,2,"laplata",1,1
"121",778,"Noe-2017-08-24-16-02","adult",18.53,"FEMALE",1,2,"laplata",1,1
"122",779,"Noe-2017-08-25-09-41","adult",25.58,"FEMALE",1,2,"laplata",0,1
"123",780,"Noe-2017-08-25-09-48","adult",19.57,"FEMALE",1,2,"laplata",1,1
"124",785,"Noe-2017-08-29-12-09","adult",42.69,"FEMALE",1,2,"laplata",0,0
"125",791,"Noe-2017-08-30-13-18","adult",57.62,"MALE",0,2,"laplata",1,1
"126",795,"Noe-2017-08-30-14-50","adult",37.14,"MALE",0,2,"laplata",1,1
"127",796,"Noe-2017-08-31-12-05","adult",27.71,"MALE",0,2,"laplata",0,0
"128",797,"Noe-2017-09-03-15-27","adult",25.65,"FEMALE",1,2,"laplata",1,1
"129",798,"Noe-2017-09-03-16-36","adult",20.21,"MALE",0,2,"laplata",1,1
"130",799,"Noe-2017-09-03-17-03","adult",18.76,"FEMALE",1,2,"laplata",0,1
"131",800,"Noe-2017-09-03-17-45","adult",19.03,"MALE",0,2,"laplata",1,1
"132",801,"Noe-2017-09-03-20-34","adult",19.76,"MALE",0,2,"laplata",1,1
"133",821,"Noe-2017-09-07-12-06","adult",20.6,"MALE",0,2,"laplata",0,0
"134",822,"Noe-2017-09-08-14-01","adult",20.42,"MALE",0,2,"laplata",1,1
"135",823,"Noe-2017-09-08-14-28","adult",19.42,"MALE",0,2,"laplata",1,1
"136",824,"Noe-2017-09-08-15-43","adult",18.42,"FEMALE",1,2,"laplata",1,1
"137",831,"Noe-2017-09-13-15-29","adult",39.56,"MALE",0,2,"laplata",1,1
"138",832,"Noe-2017-09-17-16-32","adult",65.51,"FEMALE",1,2,"laplata",1,1
"139",833,"Noe-2017-09-19-08-51","adult",37.04,"MALE",0,2,"laplata",0,0
"140",834,"Noe-2017-09-19-10-02","adult",36.52,"MALE",0,2,"laplata",0,0
"141",835,"Noe-2017-09-20-09-39","adult",69.6,"MALE",0,2,"laplata",1,1
"142",851,"Noe-2017-10-01-09-21","adult",34.39,"MALE",0,2,"laplata",1,1
"143",852,"Noe-2017-10-01-10-05","adult",37.48,"MALE",0,2,"laplata",1,1
"144",853,"Noe-2017-10-01-11-06","adult",38.69,"FEMALE",1,2,"laplata",0,0
"145",854,"Noe-2017-10-01-15-10","adult",30.85,"FEMALE",1,2,"laplata",1,1
"146",967,"Iris-2017-09-06-19-22","adult",57.69,"FEMALE",1,1,"berlin",1,1
"147",968,"Iris-2017-09-18-22-59","adult",41.68,"MALE",0,1,"berlin",1,1
"148",969,"Iris-2017-09-19-13-02","adult",59.15,"MALE",0,1,"berlin",1,1
"149",970,"Iris-2017-09-19-14-20","adult",70.44,"FEMALE",1,1,"berlin",1,1
"150",971,"Suheyla-2017-09-18-19-33","adult",50.11,"FEMALE",1,1,"berlin",1,0
"151",972,"Suheyla-2017-09-18-20-00","adult",71.1,"FEMALE",1,1,"berlin",1,1
"152",973,"Suheyla-2017-09-19-15-09","adult",35.91,"MALE",0,1,"berlin",1,1
